step,node_id,base_weight,is_selected,action_taken,correlated_action_taken,num_selected_neighbors,weights_of_selected_neighbors,corrs_with_selected_neighbors,max_corr_to_selected_neighbor,weight_of_highest_corr_neighbor,logical_outcome,corr_logical_outcome
15988,215,7.5358305,0.0,-0.4711429,-0.7470538,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,7.5358305,fixed,fixed
15988,216,6.214031,0.0,-0.40941295,-0.71150875,1,[np.float32(5.0934668)],[np.float32(0.111585006)],0.111585006,5.0934668,fixed,fixed
15988,221,5.0934668,0.0,-0.3941454,-0.5496383,1,[np.float32(5.0934668)],[np.float32(0.08184193)],0.08184193,6.7248263,fixed,fixed
15988,222,7.1303654,0.0,-0.43705565,-0.8090847,1,[np.float32(5.0934668)],[np.float32(0.11897195)],0.11897195,5.0934668,fixed,fixed
15988,256,5.284512,0.0,-0.4114277,-0.47274256,1,[np.float32(4.5525913)],[np.float32(0.0667954)],0.0667954,6.088874,fixed,fixed
63426,30,4.5525913,0.0,-0.36534134,-0.36317652,1,[np.float32(5.4253707)],[np.float32(0.032927886)],0.032927886,6.214031,fixed,fixed
63426,60,4.951692,0.0,-0.38620725,-0.44299668,1,[np.float32(5.4253707)],[np.float32(0.042770606)],0.042770606,5.2083592,fixed,fixed
63426,75,5.0934668,0.0,-0.41828513,-1.0186926,1,[np.float32(7.5358305)],[np.float32(0.14657553)],0.14657553,6.5241694,fixed,fixed
63426,86,5.184434,0.0,-0.39749914,-0.81727105,1,[np.float32(7.5358305)],[np.float32(0.07588504)],0.07588504,6.7248263,fixed,fixed
63426,122,5.877573,0.0,-0.431959,-1.1755139,1,[np.float32(6.7248263)],[np.float32(0.32661414)],0.32661414,6.7248263,fixed,fixed
63426,127,6.842684,0.0,-0.46122083,-0.534488,1,[np.float32(5.4253707)],[np.float32(0.028767666)],0.028767666,7.5358305,fixed,fixed
63426,144,5.877573,0.0,-0.41803184,-0.56743723,1,[np.float32(5.4253707)],[np.float32(0.053859804)],0.053859804,6.9761195,fixed,fixed
63426,145,7.5358305,0.0,-0.49038857,-0.8148468,1,[np.float32(5.4253707)],[np.float32(0.08591343)],0.08591343,7.5358305,fixed,fixed
63426,146,6.842684,0.0,-0.46122083,-0.534488,1,[np.float32(5.4253707)],[np.float32(0.028767666)],0.028767666,7.5358305,fixed,fixed
63426,148,5.877573,0.0,-0.43561795,-0.56743723,1,[np.float32(5.4253707)],[np.float32(0.053859804)],0.053859804,6.7248263,fixed,fixed
63426,172,5.0934668,0.0,-0.4413441,-0.6233157,1,[np.float32(5.4253707)],[np.float32(0.098482996)],0.098482996,6.9761195,fixed,fixed
63426,177,5.877573,0.0,-0.43527475,-1.1755139,1,[np.float32(6.7248263)],[np.float32(0.32661414)],0.32661414,6.7248263,fixed,fixed
63426,180,5.0934668,0.0,-0.40400177,-0.49886718,1,[np.float32(5.5545464)],[np.float32(0.050411604)],0.050411604,6.7248263,fixed,fixed
63426,238,5.0934668,0.0,-0.40657875,-0.49127245,1,[np.float32(6.214031)],[np.float32(0.034869)],0.034869,6.7248263,fixed,fixed
63426,256,5.284512,0.0,-0.4228737,-0.7800325,1,[np.float32(6.214031)],[np.float32(0.123305775)],0.123305775,6.088874,fixed,fixed
63426,264,5.877573,0.0,-0.43561497,-0.5097877,1,[np.float32(5.5545464)],[np.float32(0.037488364)],0.037488364,6.7248263,fixed,fixed
63426,266,7.5358305,0.0,-0.49584177,-0.83409786,1,[np.float32(6.214031)],[np.float32(0.06367433)],0.06367433,8.228977,fixed,fixed
63426,289,5.5545464,0.0,-0.41395092,-0.437841,1,[np.float32(6.214031)],[np.float32(0.021325735)],0.021325735,8.228977,fixed,fixed
63426,291,5.877573,0.0,-0.43140265,-0.5024463,1,[np.float32(6.214031)],[np.float32(0.025936576)],0.025936576,6.7248263,fixed,fixed
63426,316,6.842684,0.0,-0.45898676,-0.56064147,1,[np.float32(5.5545464)],[np.float32(0.030949712)],0.030949712,7.5358305,fixed,fixed
63426,345,7.5358305,0.0,-0.48431557,-0.69927084,1,[np.float32(5.5545464)],[np.float32(0.045181643)],0.045181643,7.5358305,fixed,fixed
63426,346,6.214031,0.0,-0.43313724,-0.43491095,1,[np.float32(5.5545464)],[np.float32(0.021325735)],0.021325735,4.45615,fixed,fixed
63426,368,5.284512,0.0,-0.37754023,-0.9479989,1,[np.float32(6.214031)],[np.float32(0.22865157)],0.22865157,6.088874,fixed,fixed
87724,105,6.088874,0.0,-0.42589933,-0.8152388,1,[np.float32(6.088874)],[np.float32(0.11587737)],0.11587737,4.5525913,broken,broken
87724,107,5.284512,0.0,-0.4060831,-0.9614452,1,[np.float32(6.088874)],[np.float32(0.2540094)],0.2540094,6.088874,broken,broken
87724,164,5.0099363,0.0,-0.38123727,-0.42434192,1,[np.float32(5.977319)],[np.float32(0.028617572)],0.028617572,5.184434,broken,broken
87724,165,5.0934668,0.0,-0.40160757,-0.441048,2,"[np.float32(5.977319), np.float32(5.877573)]","[np.float32(0.03016363), np.float32(0.028311158)]",0.03016363,6.7248263,broken,broken
87724,185,5.877573,0.0,-0.4352917,-0.5978693,1,[np.float32(5.977319)],[np.float32(0.04764821)],0.04764821,6.7248263,broken,broken
87724,221,5.0934668,0.0,-0.40948057,-0.61615735,1,[np.float32(6.088874)],[np.float32(0.06837011)],0.06837011,6.7248263,broken,broken
87724,226,5.284512,0.0,-0.3769704,-0.8216146,1,[np.float32(6.088874)],[np.float32(0.15505402)],0.15505402,6.088874,broken,broken
87724,249,6.842684,0.0,-0.45872915,-0.8561001,1,[np.float32(5.877573)],[np.float32(0.11442152)],0.11442152,7.5358305,broken,broken
87724,252,5.877573,0.0,-0.43146348,-0.43335372,1,[np.float32(5.877573)],[np.float32(0.02113925)],0.02113925,6.7248263,broken,broken
87724,254,8.228977,0.0,-0.5227276,-0.90363455,1,[np.float32(5.877573)],[np.float32(0.07651761)],0.07651761,7.5358305,broken,broken
87724,271,5.877573,0.0,-0.43241072,-0.43335372,1,[np.float32(5.877573)],[np.float32(0.02113925)],0.02113925,6.7248263,broken,broken
87724,278,5.5545464,0.0,-0.40808398,-0.51231617,1,[np.float32(5.877573)],[np.float32(0.037488364)],0.037488364,7.5358305,broken,broken
87724,281,5.0934668,0.0,-0.39797768,-0.42010027,1,[np.float32(5.877573)],[np.float32(0.028311158)],0.028311158,6.7248263,broken,broken
87724,298,5.877573,0.0,-0.43200424,-0.43335372,1,[np.float32(5.877573)],[np.float32(0.02113925)],0.02113925,6.7248263,broken,broken
87724,336,6.088874,0.0,-0.40533307,-0.8152388,1,[np.float32(6.088874)],[np.float32(0.11587737)],0.11587737,5.284512,broken,broken
87724,357,6.7248263,0.0,-0.37517872,-1.0856797,1,[np.float32(5.877573)],[np.float32(0.32661414)],0.32661414,5.877573,broken,broken
87724,359,5.4253707,0.0,-0.40638843,-0.57263744,1,[np.float32(5.877573)],[np.float32(0.053859804)],0.053859804,7.5358305,broken,broken
87724,360,7.5358305,0.0,-0.4871237,-0.76500523,1,[np.float32(5.877573)],[np.float32(0.053509373)],0.053509373,6.842684,broken,broken
87724,361,6.842684,0.0,-0.4367447,-0.8561001,1,[np.float32(5.877573)],[np.float32(0.11442152)],0.11442152,7.5358305,broken,broken
87724,362,7.5358305,0.0,-0.48055077,-0.76500523,2,"[np.float32(5.877573), np.float32(5.877573)]","[np.float32(0.053509373), np.float32(0.053509373)]",0.053509373,7.5358305,broken,broken
87724,380,6.842684,0.0,-0.4586146,-0.8561001,1,[np.float32(5.877573)],[np.float32(0.11442152)],0.11442152,7.5358305,broken,broken
87724,383,6.088874,0.0,-0.44054735,-0.4756139,1,[np.float32(5.877573)],[np.float32(0.02407378)],0.02407378,6.7248263,broken,broken
87724,391,7.5358305,0.0,-0.49762434,-0.76500523,1,[np.float32(5.877573)],[np.float32(0.053509373)],0.053509373,8.228977,broken,broken
87724,405,5.0934668,0.0,-0.4012528,-1.0186926,1,[np.float32(6.5241694)],[np.float32(0.24319017)],0.24319017,6.5241694,broken,broken
87724,409,5.4253707,0.0,-0.40027776,-0.57263744,1,[np.float32(5.877573)],[np.float32(0.053859804)],0.053859804,8.228977,broken,broken
87724,410,6.088874,0.0,-0.43966135,-0.4756139,1,[np.float32(5.877573)],[np.float32(0.02407378)],0.02407378,6.7248263,broken,broken
87724,430,4.8111362,0.0,-0.3615937,-0.60442805,1,[np.float32(5.877573)],[np.float32(0.07992371)],0.07992371,6.18106,broken,broken
87724,445,4.5525913,0.0,-0.38588136,-0.31192517,1,[np.float32(5.877573)],[np.float32(0.019440975)],0.019440975,6.088874,broken,broken
87724,452,4.8111362,0.0,-0.3562396,-0.60442805,1,[np.float32(5.877573)],[np.float32(0.07992371)],0.07992371,6.18106,broken,broken
87724,462,6.9761195,0.0,-0.39392444,-1.0739117,1,[np.float32(5.877573)],[np.float32(0.28801104)],0.28801104,5.877573,broken,broken
87724,463,5.0301485,0.0,-0.37418395,-0.4074366,1,[np.float32(5.877573)],[np.float32(0.02717884)],0.02717884,5.366584,broken,broken
87724,481,5.366584,0.0,-0.38647082,-0.77277994,1,[np.float32(6.5241694)],[np.float32(0.0998975)],0.0998975,5.0301485,broken,broken
131068,86,5.184434,0.0,-0.39749914,-1.036886,1,[np.float32(6.7248263)],[np.float32(0.23030394)],0.23030394,6.7248263,fixed,fixed
131068,120,5.0934668,0.0,-0.40651762,-0.5496383,1,[np.float32(5.0934668)],[np.float32(0.08184193)],0.08184193,6.7248263,fixed,fixed
131068,122,5.877573,0.0,-0.431959,-1.1755139,1,[np.float32(6.7248263)],[np.float32(0.32661414)],0.32661414,6.7248263,fixed,fixed
131068,148,5.877573,0.0,-0.43561795,-1.1755139,2,"[np.float32(6.7248263), np.float32(5.0934668)]","[np.float32(0.32661414), np.float32(0.028311158)]",0.32661414,6.7248263,fixed,fixed
131068,177,5.877573,0.0,-0.43527475,-1.1755139,1,[np.float32(6.7248263)],[np.float32(0.32661414)],0.32661414,6.7248263,fixed,fixed
131068,233,7.5358305,0.0,-0.48432434,-0.7470538,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,7.5358305,fixed,fixed
131068,234,6.214031,0.0,-0.43381912,-0.84472907,1,[np.float32(5.0934668)],[np.float32(0.20743524)],0.20743524,5.0934668,fixed,fixed
131068,256,5.284512,0.0,-0.41636658,-0.43991408,1,[np.float32(5.0934668)],[np.float32(0.04278246)],0.04278246,6.088874,fixed,fixed
131068,258,7.1303654,0.0,-0.43731937,-0.8090847,1,[np.float32(5.0934668)],[np.float32(0.11897195)],0.11897195,5.0934668,fixed,fixed
131068,259,5.786329,0.0,-0.4169017,-0.5402774,1,[np.float32(5.0934668)],[np.float32(0.05768841)],0.05768841,8.228977,fixed,fixed
131068,260,7.5358305,0.0,-0.45877945,-0.7470538,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,5.284512,fixed,fixed
131068,264,5.877573,0.0,-0.43097594,-0.41540232,1,[np.float32(5.0934668)],[np.float32(0.028311158)],0.028311158,6.7248263,fixed,fixed
131068,288,6.214031,0.0,-0.42572775,-0.48269397,1,[np.float32(5.0934668)],[np.float32(0.034869)],0.034869,5.284512,fixed,fixed
131068,312,5.977319,0.0,-0.4204972,-0.43535146,1,[np.float32(5.0934668)],[np.float32(0.03016363)],0.03016363,5.877573,fixed,fixed
131068,313,5.0099363,0.0,-0.37508306,-0.38499895,1,[np.float32(5.0934668)],[np.float32(0.03582518)],0.03582518,5.184434,fixed,fixed
131068,314,7.5358305,0.0,-0.44749224,-0.8901777,1,[np.float32(5.0934668)],[np.float32(0.14657553)],0.14657553,5.0934668,fixed,fixed
131068,341,6.7248263,0.0,-0.39973062,-0.90187836,1,[np.float32(5.0934668)],[np.float32(0.21994561)],0.21994561,5.0934668,fixed,fixed
131068,342,5.977319,0.0,-0.41202626,-0.5784754,1,[np.float32(5.0934668)],[np.float32(0.06426283)],0.06426283,5.0934668,fixed,fixed
131068,345,7.5358305,0.0,-0.47293174,-0.7470538,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,7.5358305,fixed,fixed
131068,346,6.214031,0.0,-0.4124483,-0.71150875,1,[np.float32(5.0934668)],[np.float32(0.111585006)],0.111585006,4.45615,fixed,fixed
131068,350,4.45615,0.0,-0.3618418,-0.42217493,1,[np.float32(5.0934668)],[np.float32(0.055879492)],0.055879492,6.7248263,fixed,fixed
131068,370,7.1303654,0.0,-0.43734604,-0.8090847,1,[np.float32(5.0934668)],[np.float32(0.11897195)],0.11897195,5.0934668,fixed,fixed
140770,92,6.842684,0.0,-0.45869803,-0.8561001,1,[np.float32(5.877573)],[np.float32(0.11442152)],0.11442152,7.5358305,fixed,fixed
140770,96,7.5358305,0.0,-0.48215228,-0.76500523,1,[np.float32(5.877573)],[np.float32(0.053509373)],0.053509373,7.5358305,fixed,fixed
140770,97,6.214031,0.0,-0.42951643,-0.50064534,1,[np.float32(5.877573)],[np.float32(0.025936576)],0.025936576,5.0934668,fixed,fixed
140770,102,5.0934668,0.0,-0.4090611,-0.5496383,1,[np.float32(5.0934668)],[np.float32(0.08184193)],0.08184193,6.7248263,fixed,fixed
140770,106,7.5358305,0.0,-0.50737387,-0.76500523,1,[np.float32(5.877573)],[np.float32(0.053509373)],0.053509373,8.228977,fixed,fixed
140770,107,5.284512,0.0,-0.4060831,-0.43991408,1,[np.float32(5.0934668)],[np.float32(0.04278246)],0.04278246,6.088874,fixed,fixed
140770,122,5.877573,0.0,-0.431959,-0.43335372,1,[np.float32(5.877573)],[np.float32(0.02113925)],0.02113925,6.7248263,fixed,fixed
140770,130,5.4253707,0.0,-0.4065057,-0.57263744,1,[np.float32(5.877573)],[np.float32(0.053859804)],0.053859804,7.5358305,fixed,fixed
140770,135,5.877573,0.0,-0.42757097,-0.43335372,2,"[np.float32(5.877573), np.float32(5.0934668)]","[np.float32(0.02113925), np.float32(0.028311158)]",0.028311158,6.7248263,fixed,fixed
140770,148,5.877573,0.0,-0.43561795,-0.9558455,1,[np.float32(8.228977)],[np.float32(0.07651761)],0.07651761,6.7248263,fixed,fixed
140770,155,5.877573,0.0,-0.42849335,-0.43335372,1,[np.float32(5.877573)],[np.float32(0.02113925)],0.02113925,6.7248263,fixed,fixed
140770,180,5.0934668,0.0,-0.40400177,-0.90978986,1,[np.float32(6.214031)],[np.float32(0.20743524)],0.20743524,6.7248263,fixed,fixed
140770,182,5.877573,0.0,-0.43641365,-0.5024463,1,[np.float32(6.214031)],[np.float32(0.025936576)],0.025936576,6.7248263,fixed,fixed
140770,192,5.184434,0.0,-0.40790844,-0.5094659,1,[np.float32(6.214031)],[np.float32(0.036789175)],0.036789175,6.7248263,fixed,fixed
140770,206,6.7248263,0.0,-0.3753063,-1.0856797,1,[np.float32(5.877573)],[np.float32(0.32661414)],0.32661414,5.877573,fixed,fixed
140770,209,5.4253707,0.0,-0.40109497,-0.57263744,1,[np.float32(5.877573)],[np.float32(0.053859804)],0.053859804,8.228977,fixed,fixed
140770,210,7.5358305,0.0,-0.49776918,-0.76500523,1,[np.float32(5.877573)],[np.float32(0.053509373)],0.053509373,8.228977,fixed,fixed
140770,211,6.842684,0.0,-0.43674952,-0.8561001,1,[np.float32(5.877573)],[np.float32(0.11442152)],0.11442152,7.5358305,fixed,fixed
140770,212,7.5358305,0.0,-0.48054302,-0.76500523,1,[np.float32(5.877573)],[np.float32(0.053509373)],0.053509373,7.5358305,fixed,fixed
140770,215,7.5358305,0.0,-0.4827929,-0.7470538,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,7.5358305,fixed,fixed
140770,216,6.214031,0.0,-0.4303721,-0.84472907,1,[np.float32(5.0934668)],[np.float32(0.20743524)],0.20743524,5.0934668,fixed,fixed
140770,222,7.1303654,0.0,-0.43716738,-0.8090847,1,[np.float32(5.0934668)],[np.float32(0.11897195)],0.11897195,5.0934668,fixed,fixed
140770,223,5.5545464,0.0,-0.41468096,-0.350797,1,[np.float32(5.0934668)],[np.float32(0.022772891)],0.022772891,8.228977,fixed,fixed
140770,224,6.088874,0.0,-0.41506436,-0.60078645,1,[np.float32(5.0934668)],[np.float32(0.06837011)],0.06837011,5.284512,fixed,fixed
140770,226,5.284512,0.0,-0.39852625,-0.43991408,1,[np.float32(5.0934668)],[np.float32(0.04278246)],0.04278246,6.088874,fixed,fixed
140770,242,7.5358305,0.0,-0.4859659,-1.2874969,1,[np.float32(8.228977)],[np.float32(0.17652911)],0.17652911,8.228977,fixed,fixed
140770,252,5.877573,0.0,-0.42675555,-0.41540232,1,[np.float32(5.0934668)],[np.float32(0.028311158)],0.028311158,6.7248263,fixed,fixed
140770,259,5.786329,0.0,-0.412053,-0.9375965,1,[np.float32(8.228977)],[np.float32(0.07304597)],0.07304597,8.228977,fixed,fixed
140770,273,7.5358305,0.0,-0.49804518,-0.83409786,1,[np.float32(6.214031)],[np.float32(0.06367433)],0.06367433,6.842684,fixed,fixed
140770,291,5.877573,0.0,-0.43593803,-1.1755139,1,[np.float32(6.7248263)],[np.float32(0.32661414)],0.32661414,6.7248263,fixed,fixed
140770,292,5.977319,0.0,-0.4279397,-0.5223955,1,[np.float32(6.214031)],[np.float32(0.027491292)],0.027491292,7.5358305,fixed,fixed
140770,293,5.0934668,0.0,-0.37744698,-0.7418235,1,[np.float32(6.214031)],[np.float32(0.111585006)],0.111585006,6.7248263,fixed,fixed
140770,309,6.7248263,0.0,-0.4000191,-0.90187836,1,[np.float32(5.0934668)],[np.float32(0.21994561)],0.21994561,5.0934668,fixed,fixed
140770,310,5.5545464,0.0,-0.39552096,-0.49392095,1,[np.float32(5.0934668)],[np.float32(0.050411604)],0.050411604,5.0934668,fixed,fixed
140770,317,5.184434,0.0,-0.38329637,-0.41989845,1,[np.float32(5.0934668)],[np.float32(0.04016033)],0.04016033,6.9761195,fixed,fixed
