distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
5,5,0.0004,cm,1.0,102000000,620,6.07843137254902e-06,2.441149364706095e-07,40.8539,0.4005,0,0
5,5,0.0004,mwpm,,102000000,886,8.686274509803922e-06,2.918198319141833e-07,18.1451,0.1779,0,0
5,5,0.0007,cm,0.1,20000000,571,2.855e-05,1.1947632589241266e-06,17.559,0.8779,0,0
5,5,0.0007,cm,0.2,20000000,519,2.595e-05,1.1390637953490577e-06,17.6306,0.8815,0,0
5,5,0.0007,cm,0.3,20000000,522,2.61e-05,1.1423510579064564e-06,17.6744,0.8837,0,0
5,5,0.0007,cm,0.4,20000000,508,2.54e-05,1.1269284546944406e-06,17.6953,0.8848,1,0
5,5,0.0007,cm,0.5,20000000,512,2.56e-05,1.1313563682589142e-06,17.7651,0.8883,0,0
5,5,0.0007,cm,0.6,20000000,521,2.605e-05,1.1412563558968687e-06,17.7924,0.8896,0,0
5,5,0.0007,cm,0.7,20000000,528,2.64e-05,1.1488973635621243e-06,17.8289,0.8914,0,0
5,5,0.0007,cm,0.8,20000000,529,2.645e-05,1.1499847911494308e-06,17.8514,0.8926,0,0
5,5,0.0007,cm,0.9,20000000,545,2.725e-05,1.1672458489431436e-06,17.8722,0.8936,0,0
5,5,0.0007,cm,1.0,20000000,552,2.76e-05,1.1747178010058414e-06,12.7127,0.6356,0,0
5,5,0.0007,mwpm,,20000000,929,4.645e-05,1.5239396706808966e-06,5.0025,0.2501,0,0
5,5,0.001,cm,0.1,8000000,697,8.7125e-05,3.299950932104427e-06,9.8919,1.2365,0,0
5,5,0.001,cm,0.2,8000000,605,7.5625e-05,3.0744772087985745e-06,9.9652,1.2457,0,0
5,5,0.001,cm,0.3,8000000,573,7.1625e-05,2.9920701416280124e-06,9.9878,1.2485,0,0
5,5,0.001,cm,0.4,8000000,570,7.125e-05,2.9842277777823027e-06,10.0039,1.2505,0,0
5,5,0.001,cm,0.5,8000000,563,7.0375e-05,2.9658482631317936e-06,10.0423,1.2553,1,0
5,5,0.001,cm,0.6,8000000,566,7.075e-05,2.9737391117392087e-06,10.0552,1.2569,0,0
5,5,0.001,cm,0.7,8000000,571,7.1375e-05,2.9868441876287884e-06,10.0771,1.2596,0,0
5,5,0.001,cm,0.8,8000000,581,7.2625e-05,3.0128832870145957e-06,10.0937,1.2617,0,0
5,5,0.001,cm,0.9,8000000,587,7.3375e-05,3.0283992493843795e-06,10.099,1.2624,0,0
5,5,0.001,cm,1.0,8000000,598,7.475e-05,3.0566405668130988e-06,7.1802,0.8975,0,0
5,5,0.001,mwpm,,8000000,1056,0.000132,4.061751100202966e-06,2.7283,0.341,0,0
5,5,0.002,cm,0.1,1000000,756,0.000756,2.7485058922985776e-05,2.6865,2.6865,0,0
5,5,0.002,cm,0.2,1000000,687,0.000687,2.6201679927058112e-05,2.6317,2.6317,0,0
5,5,0.002,cm,0.3,1000000,644,0.000644,2.5368982320936723e-05,2.7091,2.7091,0,0
5,5,0.002,cm,0.4,1000000,622,0.000622,2.493217030264313e-05,2.6923,2.6923,0,0
5,5,0.002,cm,0.5,1000000,605,0.000605,2.4589306110583924e-05,2.9933,2.9933,1,0
5,5,0.002,cm,0.6,1000000,607,0.000607,2.462989141267172e-05,3.1021,3.1021,0,0
5,5,0.002,cm,0.7,1000000,607,0.000607,2.462989141267172e-05,3.1932,3.1932,0,0
5,5,0.002,cm,0.8,1000000,607,0.000607,2.462989141267172e-05,2.9606,2.9606,0,0
5,5,0.002,cm,0.9,1000000,608,0.000608,2.4650158944720822e-05,2.7077,2.7077,0,0
