Job started at: Sun May  3 11:16:59 CEST 2026
Starting Run 61: Burn-in | Gamma=0.0 | Layers=1 | M=30.0 | action_scale=5 | Using P.C. | lr=1e-4 | bs=128 | te=-0.5
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_61.pth', 'training_metrics_filename': 'training_metrics_61.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'target_entropy': -0.5, 'batch_size': 128, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 280, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 280)
========================================
Train Ep: 115/280 | Reward:   10.0 | MSE: 0.2725 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 116/280 | Reward:   10.0 | MSE: 0.1736 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 117/280 | Reward:   -1.0 | MSE: 0.1561 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 118/280 | Reward:  -16.0 | MSE: 0.2289 | C_Loss: 0.002 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 119/280 | Reward:   15.0 | MSE: 0.2280 | C_Loss: 0.003 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 120/280 | Reward:   25.0 | MSE: 0.2511 | C_Loss: 0.004 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 121/280 | Reward:   16.0 | MSE: 0.1809 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 122/280 | Reward:  -39.0 | MSE: 0.2555 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 123/280 | Reward:   -7.0 | MSE: 0.2534 | C_Loss: 0.012 | A_Loss: 0.001 | Alpha: 0.0000
Train Ep: 124/280 | Reward:   14.0 | MSE: 0.2547 | C_Loss: 0.011 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 125/280 | Reward:   17.0 | MSE: 0.2702 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 126/280 | Reward:   -1.0 | MSE: 0.2017 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 127/280 | Reward:   24.0 | MSE: 0.1925 | C_Loss: 0.006 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 128/280 | Reward:   -5.0 | MSE: 0.2717 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 129/280 | Reward:   12.0 | MSE: 0.1767 | C_Loss: 0.003 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 130/280 | Reward:   11.0 | MSE: 0.1949 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 131/280 | Reward:   18.0 | MSE: 0.2012 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 132/280 | Reward:   12.0 | MSE: 0.2847 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 133/280 | Reward:    9.0 | MSE: 0.1787 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 134/280 | Reward:    7.0 | MSE: 0.2806 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 135/280 | Reward:   18.0 | MSE: 0.2410 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 136/280 | Reward:   17.0 | MSE: 0.2170 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 137/280 | Reward:   19.0 | MSE: 0.2502 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 138/280 | Reward:   15.0 | MSE: 0.1802 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 139/280 | Reward:    7.0 | MSE: 0.2118 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 140/280 | Reward:    4.0 | MSE: 0.2625 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 141/280 | Reward:   -5.0 | MSE: 0.2085 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 142/280 | Reward:    0.0 | MSE: 0.2065 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 143/280 | Reward:    4.0 | MSE: 0.3139 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 144/280 | Reward:    8.0 | MSE: 0.1516 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 145/280 | Reward:   -3.0 | MSE: 0.1864 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 146/280 | Reward:    5.0 | MSE: 0.1824 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 147/280 | Reward:    3.0 | MSE: 0.2365 | C_Loss: 0.000 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 148/280 | Reward:    7.0 | MSE: 0.1772 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 149/280 | Reward:    2.0 | MSE: 0.2611 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 150/280 | Reward:   -4.0 | MSE: 0.2432 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 151/280 | Reward:  -12.0 | MSE: 0.2681 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 152/280 | Reward:  -54.0 | MSE: 0.2584 | C_Loss: 0.003 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 153/280 | Reward:  -23.0 | MSE: 0.3303 | C_Loss: 0.006 | A_Loss: 0.000 | Alpha: 0.0000
