Job started at: Tue May  5 15:49:23 CEST 2026
Starting Run 63: Burn-in | Gamma=0.0 | Layers=1 | M=30.0 | action_scale=5 | Using P.C. | lr=5e-5 | bs=128 | te=-1
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_63.pth', 'training_metrics_filename': 'training_metrics_63.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 5e-05, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'target_entropy': -1.0, 'batch_size': 128, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 500, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 500)
========================================
Train Ep: 060/500 | Reward:  -17.0 | MSE: 0.1300 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0024
Train Ep: 061/500 | Reward:  -25.0 | MSE: 0.2830 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0023
Train Ep: 062/500 | Reward:    2.0 | MSE: 0.1295 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0023
Train Ep: 063/500 | Reward:    6.0 | MSE: 0.2127 | C_Loss: 0.004 | A_Loss: -0.001 | Alpha: 0.0022
Train Ep: 064/500 | Reward:  -15.0 | MSE: 0.1817 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0022
Train Ep: 065/500 | Reward:  -23.0 | MSE: 0.2958 | C_Loss: 0.004 | A_Loss: -0.001 | Alpha: 0.0021
Train Ep: 066/500 | Reward:   11.0 | MSE: 0.2313 | C_Loss: 0.004 | A_Loss: -0.001 | Alpha: 0.0021
Train Ep: 067/500 | Reward:  -66.0 | MSE: 0.1519 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0020
Train Ep: 068/500 | Reward:  -11.0 | MSE: 0.2020 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0020
Train Ep: 069/500 | Reward:  -28.0 | MSE: 0.2135 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0019
Train Ep: 070/500 | Reward:  -42.0 | MSE: 0.1109 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0019
Train Ep: 071/500 | Reward:    2.0 | MSE: 0.2197 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0018
Train Ep: 072/500 | Reward:  -10.0 | MSE: 0.2706 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0018
Train Ep: 073/500 | Reward:  -25.0 | MSE: 0.1507 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0018
Train Ep: 074/500 | Reward:  -18.0 | MSE: 0.2986 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0017
Train Ep: 075/500 | Reward:   17.0 | MSE: 0.0904 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0017
Train Ep: 076/500 | Reward:   14.0 | MSE: 0.2279 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0016
Train Ep: 077/500 | Reward:   -8.0 | MSE: 0.2373 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0016
Train Ep: 078/500 | Reward:  -10.0 | MSE: 0.1558 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0016
Train Ep: 079/500 | Reward:  -38.0 | MSE: 0.2363 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0015
Train Ep: 080/500 | Reward:  -58.0 | MSE: 0.2294 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0015
Train Ep: 081/500 | Reward:    8.0 | MSE: 0.1721 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0015
Train Ep: 082/500 | Reward:   -8.0 | MSE: 0.1537 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0014
Train Ep: 083/500 | Reward:    4.0 | MSE: 0.3810 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0014
Train Ep: 084/500 | Reward:   -3.0 | MSE: 0.1538 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0014
Train Ep: 085/500 | Reward: -111.0 | MSE: 0.2147 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0013
Train Ep: 086/500 | Reward:  -41.0 | MSE: 0.2371 | C_Loss: 0.010 | A_Loss: -0.000 | Alpha: 0.0013
