Job started at: Sat May  2 12:08:34 CEST 2026
Starting Run 57: Burn-in | Gamma=0.0 | Layers=1 | Mismatch=30.0 | action_scale=5 | Using P.C. | lr=1e-4 | bs=256
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_57.pth', 'training_metrics_filename': 'training_metrics_57.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 256, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 300, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 300)
========================================
Train Ep: 064/300 | Reward:   12.0 | MSE: 0.1807 | C_Loss: 0.014 | A_Loss: -0.000 | Alpha: 0.0005
Train Ep: 065/300 | Reward:  -13.0 | MSE: 0.1998 | C_Loss: 0.012 | A_Loss: -0.000 | Alpha: 0.0005
Train Ep: 066/300 | Reward:  -74.0 | MSE: 0.1624 | C_Loss: 0.012 | A_Loss: 0.000 | Alpha: 0.0005
Train Ep: 067/300 | Reward:    7.0 | MSE: 0.2278 | C_Loss: 0.012 | A_Loss: 0.000 | Alpha: 0.0005
Train Ep: 068/300 | Reward:    7.0 | MSE: 0.2486 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0005
Train Ep: 069/300 | Reward:   18.0 | MSE: 0.1868 | C_Loss: 0.002 | A_Loss: -0.001 | Alpha: 0.0004
Train Ep: 070/300 | Reward:   16.0 | MSE: 0.2032 | C_Loss: 0.004 | A_Loss: -0.001 | Alpha: 0.0004
Train Ep: 071/300 | Reward:    0.0 | MSE: 0.2679 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 072/300 | Reward:    7.0 | MSE: 0.3006 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 073/300 | Reward:   13.0 | MSE: 0.1436 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 074/300 | Reward:   32.0 | MSE: 0.1487 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0004
Train Ep: 075/300 | Reward:    3.0 | MSE: 0.1870 | C_Loss: 0.009 | A_Loss: -0.001 | Alpha: 0.0003
Train Ep: 076/300 | Reward:  -12.0 | MSE: 0.1822 | C_Loss: 0.013 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 077/300 | Reward:   21.0 | MSE: 0.1898 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 078/300 | Reward:   10.0 | MSE: 0.2080 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 079/300 | Reward:    1.0 | MSE: 0.1730 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 080/300 | Reward:    5.0 | MSE: 0.1784 | C_Loss: 0.004 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 081/300 | Reward:    3.0 | MSE: 0.2014 | C_Loss: 0.005 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 082/300 | Reward:   11.0 | MSE: 0.1682 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 083/300 | Reward:   12.0 | MSE: 0.2113 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 084/300 | Reward:    7.0 | MSE: 0.1841 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 085/300 | Reward:    4.0 | MSE: 0.2601 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 086/300 | Reward:    7.0 | MSE: 0.2039 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 087/300 | Reward:    0.0 | MSE: 0.2926 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 088/300 | Reward:    3.0 | MSE: 0.2316 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 089/300 | Reward:  -50.0 | MSE: 0.2454 | C_Loss: 0.010 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 090/300 | Reward:   16.0 | MSE: 0.3578 | C_Loss: 0.012 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 091/300 | Reward:    4.0 | MSE: 0.2812 | C_Loss: 0.008 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 092/300 | Reward:   11.0 | MSE: 0.2687 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 093/300 | Reward:    7.0 | MSE: 0.2543 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 094/300 | Reward:   19.0 | MSE: 0.2574 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 095/300 | Reward:   -9.0 | MSE: 0.3289 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 096/300 | Reward:    9.0 | MSE: 0.2607 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 097/300 | Reward:    5.0 | MSE: 0.2973 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 098/300 | Reward:   17.0 | MSE: 0.2315 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 099/300 | Reward:   28.0 | MSE: 0.2229 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 100/300 | Reward:   27.0 | MSE: 0.1973 | C_Loss: 0.004 | A_Loss: -0.001 | Alpha: 0.0001
Train Ep: 101/300 | Reward:   44.0 | MSE: 0.1399 | C_Loss: 0.004 | A_Loss: -0.001 | Alpha: 0.0001
Train Ep: 102/300 | Reward:    1.0 | MSE: 0.2099 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0001
Train Ep: 103/300 | Reward:   16.0 | MSE: 0.1695 | C_Loss: 0.012 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 104/300 | Reward:   19.0 | MSE: 0.1647 | C_Loss: 0.016 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 105/300 | Reward:   11.0 | MSE: 0.1731 | C_Loss: 0.017 | A_Loss: -0.001 | Alpha: 0.0001
Train Ep: 106/300 | Reward:   35.0 | MSE: 0.1553 | C_Loss: 0.015 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 107/300 | Reward:   15.0 | MSE: 0.2172 | C_Loss: 0.010 | A_Loss: -0.001 | Alpha: 0.0001
Train Ep: 108/300 | Reward:   16.0 | MSE: 0.2911 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0001
Train Ep: 109/300 | Reward:    5.0 | MSE: 0.2722 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 110/300 | Reward:    4.0 | MSE: 0.3253 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 111/300 | Reward:  -83.0 | MSE: 0.2062 | C_Loss: 0.009 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 112/300 | Reward:   14.0 | MSE: 0.2250 | C_Loss: 0.012 | A_Loss: 0.001 | Alpha: 0.0001
Train Ep: 113/300 | Reward:    0.0 | MSE: 0.2728 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 114/300 | Reward:    1.0 | MSE: 0.2478 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 115/300 | Reward:   -1.0 | MSE: 0.2737 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 116/300 | Reward:    0.0 | MSE: 0.2177 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 117/300 | Reward:    0.0 | MSE: 0.1658 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 118/300 | Reward:    3.0 | MSE: 0.2521 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 119/300 | Reward:   -1.0 | MSE: 0.2408 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 120/300 | Reward:   -1.0 | MSE: 0.1999 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 121/300 | Reward:   -2.0 | MSE: 0.2323 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 122/300 | Reward:    0.0 | MSE: 0.2521 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 123/300 | Reward:    2.0 | MSE: 0.2396 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 124/300 | Reward:    4.0 | MSE: 0.2185 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 125/300 | Reward:    2.0 | MSE: 0.1335 | C_Loss: 0.000 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 126/300 | Reward:   -2.0 | MSE: 0.1553 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 127/300 | Reward:   -2.0 | MSE: 0.2252 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 128/300 | Reward:   -2.0 | MSE: 0.1880 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 129/300 | Reward:    1.0 | MSE: 0.1745 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 130/300 | Reward:    1.0 | MSE: 0.2328 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 131/300 | Reward:    0.0 | MSE: 0.2639 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 132/300 | Reward:   -2.0 | MSE: 0.1643 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 133/300 | Reward:   -7.0 | MSE: 0.1840 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 134/300 | Reward:   -2.0 | MSE: 0.2652 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 135/300 | Reward:    6.0 | MSE: 0.1473 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 136/300 | Reward:    9.0 | MSE: 0.2035 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 137/300 | Reward:    5.0 | MSE: 0.1647 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 138/300 | Reward:    2.0 | MSE: 0.2988 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 139/300 | Reward:    5.0 | MSE: 0.1582 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 140/300 | Reward:    1.0 | MSE: 0.1270 | C_Loss: 0.002 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 141/300 | Reward:    1.0 | MSE: 0.2512 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 142/300 | Reward:    2.0 | MSE: 0.1357 | C_Loss: 0.000 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 143/300 | Reward:    6.0 | MSE: 0.2212 | C_Loss: 0.000 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 144/300 | Reward:   -1.0 | MSE: 0.1911 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 145/300 | Reward:    1.0 | MSE: 0.1826 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 146/300 | Reward:    3.0 | MSE: 0.1658 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 147/300 | Reward:   -3.0 | MSE: 0.2841 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 148/300 | Reward:   -1.0 | MSE: 0.3372 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 149/300 | Reward:    0.0 | MSE: 0.1395 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 150/300 | Reward:    1.0 | MSE: 0.2641 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 151/300 | Reward:    1.0 | MSE: 0.1825 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 152/300 | Reward:    1.0 | MSE: 0.2816 | C_Loss: 0.000 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 153/300 | Reward:    2.0 | MSE: 0.2846 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 154/300 | Reward:    0.0 | MSE: 0.2554 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 155/300 | Reward:    1.0 | MSE: 0.2102 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 156/300 | Reward:   -1.0 | MSE: 0.2876 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 157/300 | Reward:    0.0 | MSE: 0.1898 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 158/300 | Reward:    0.0 | MSE: 0.1265 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 159/300 | Reward:    0.0 | MSE: 0.1975 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 160/300 | Reward:    1.0 | MSE: 0.1768 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 161/300 | Reward:    3.0 | MSE: 0.2405 | C_Loss: 0.000 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 162/300 | Reward:    7.0 | MSE: 0.2144 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 163/300 | Reward:    6.0 | MSE: 0.1626 | C_Loss: 0.003 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 164/300 | Reward:  -53.0 | MSE: 0.1593 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 165/300 | Reward:    3.0 | MSE: 0.3871 | C_Loss: 0.011 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 166/300 | Reward:    6.0 | MSE: 0.1885 | C_Loss: 0.009 | A_Loss: 0.000 | Alpha: 0.0000
Train Ep: 167/300 | Reward:   -1.0 | MSE: 0.1716 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 168/300 | Reward:   76.0 | MSE: 0.2263 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0000
Train Ep: 169/300 | Reward:   96.0 | MSE: 0.1705 | C_Loss: 0.010 | A_Loss: -0.002 | Alpha: 0.0000
Train Ep: 170/300 | Reward:   96.0 | MSE: 0.2047 | C_Loss: 0.023 | A_Loss: -0.002 | Alpha: 0.0000
