Job started at: Thu Apr 16 13:15:25 CEST 2026
Starting Run 2: Gamma=0.0 | Mismatch=1.0 | Update=1000
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_36_cpu.pth', 'training_metrics_filename': 'training_metrics_36_cpu.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 1.0, 'n_shots': 20000, 'burn_in_steps': 0, 'bypass_threshold': 2, 'action_scale': 3.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'hidden_dim': 128, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 64, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 270, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 270)
========================================
Train Ep: 124/270 | Reward:  -17.0 | MSE: 0.0426 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0010
Train Ep: 125/270 | Reward:  -36.0 | MSE: 0.0639 | C_Loss: 0.008 | A_Loss: 0.001 | Alpha: 0.0010
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 453 | GNN Errors: 436
  -> Relative Improvement: 3.753%
Train Ep: 126/270 | Reward:  -23.0 | MSE: 0.0566 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0010
Train Ep: 127/270 | Reward:   -4.0 | MSE: 0.0500 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0010
Train Ep: 128/270 | Reward:  -14.0 | MSE: 0.0493 | C_Loss: 0.010 | A_Loss: 0.002 | Alpha: 0.0010
Train Ep: 129/270 | Reward:   -8.0 | MSE: 0.0791 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0010
Train Ep: 130/270 | Reward:  -28.0 | MSE: 0.0620 | C_Loss: 0.008 | A_Loss: 0.001 | Alpha: 0.0009
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 453 | GNN Errors: 436
  -> Relative Improvement: 3.753%
Train Ep: 131/270 | Reward:  -15.0 | MSE: 0.0907 | C_Loss: 0.008 | A_Loss: 0.001 | Alpha: 0.0009
Train Ep: 132/270 | Reward:  -32.0 | MSE: 0.0469 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0009
